instruct,answer,Conditions,Offers
Suggest a MSI laptop with 12GB RAM and 128GB SSD.,"Name: MSI ExpertBook 97, Category: General Use, Price: 96689 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,No discount
Suggest a Acer laptop with 16GB RAM and 128GB SSD.,"Name: Acer ExpertBook 98, Category: General Use, Price: 124702 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Delivery
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 99, Category: General Use, Price: 94216 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Mouse Pad
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 100, Category: General Use, Price: 109454 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Lenovo laptop with 16GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 101, Category: General Use, Price: 97170 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 102, Category: General Use, Price: 133465 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 103, Category: General Use, Price: 117822 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Apple laptop with 16GB RAM and 256GB SSD.,"Name: Apple ExpertBook 104, Category: General Use, Price: 91808 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,Discount ৳1500
Suggest a Lenovo laptop with 16GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 105, Category: General Use, Price: 128367 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a Dell laptop with 4GB RAM and 1TB SSD.,"Name: Dell ExpertBook 106, Category: General Use, Price: 97650 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Free Backpack
Suggest a LG laptop with 8GB RAM and 512GB SSD.,"Name: LG ExpertBook 107, Category: General Use, Price: 133547 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 108, Category: General Use, Price: 94040 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a HP laptop with 8GB RAM and 128GB SSD.,"Name: HP ExpertBook 109, Category: General Use, Price: 133555 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a MSI laptop with 8GB RAM and 1TB SSD.,"Name: MSI ExpertBook 110, Category: General Use, Price: 68284 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 111, Category: General Use, Price: 67483 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 112, Category: General Use, Price: 109243 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 113, Category: General Use, Price: 144234 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,EMI available (6 months)
Suggest a MSI laptop with 8GB RAM and 512GB SSD.,"Name: MSI ExpertBook 114, Category: General Use, Price: 126743 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 115, Category: General Use, Price: 53173 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a LG laptop with 16GB RAM and 256GB SSD.,"Name: LG ExpertBook 116, Category: General Use, Price: 89665 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a ASUS laptop with 4GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 117, Category: General Use, Price: 134474 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Cashback ৳2000
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 118, Category: General Use, Price: 128792 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 16GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 119, Category: General Use, Price: 85617 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Backpack
Suggest a MSI laptop with 12GB RAM and 128GB SSD.,"Name: MSI ExpertBook 120, Category: General Use, Price: 148235 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 121, Category: General Use, Price: 111640 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Delivery
Suggest a MSI laptop with 8GB RAM and 512GB SSD.,"Name: MSI ExpertBook 122, Category: General Use, Price: 141940 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Discount ৳1500
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 123, Category: General Use, Price: 92203 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 124, Category: General Use, Price: 58634 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a Acer laptop with 8GB RAM and 1TB SSD.,"Name: Acer ExpertBook 125, Category: General Use, Price: 145783 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Brand New,Battery Replacement Support
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 126, Category: General Use, Price: 46007 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a Lenovo laptop with 8GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 127, Category: General Use, Price: 79034 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Student Discount Available
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 128, Category: General Use, Price: 94651 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Gaming Mouse
Suggest a HP laptop with 8GB RAM and 256GB SSD.,"Name: HP ExpertBook 129, Category: General Use, Price: 45701 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 130, Category: General Use, Price: 91841 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Battery Replacement Support
Suggest a Lenovo laptop with 8GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 131, Category: General Use, Price: 104539 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 132, Category: General Use, Price: 96952 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 133, Category: General Use, Price: 75252 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,Student Discount Available
Suggest a HP laptop with 8GB RAM and 1TB SSD.,"Name: HP ExpertBook 134, Category: General Use, Price: 86266 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 135, Category: General Use, Price: 141901 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Brand New,No discount
Suggest a Dell laptop with 8GB RAM and 512GB SSD.,"Name: Dell ExpertBook 136, Category: General Use, Price: 75532 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 137, Category: General Use, Price: 45032 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Brand New,Free Delivery
Suggest a Dell laptop with 4GB RAM and 128GB SSD.,"Name: Dell ExpertBook 138, Category: General Use, Price: 67333 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 139, Category: General Use, Price: 65443 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 140, Category: General Use, Price: 132065 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Backpack
Suggest a MSI laptop with 8GB RAM and 256GB SSD.,"Name: MSI ExpertBook 141, Category: General Use, Price: 136277 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Free Mouse Pad
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 142, Category: General Use, Price: 90308 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a Lenovo laptop with 8GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 143, Category: General Use, Price: 63407 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 144, Category: General Use, Price: 117089 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 145, Category: General Use, Price: 64270 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Battery Replacement Support
Suggest a MSI laptop with 16GB RAM and 256GB SSD.,"Name: MSI ExpertBook 146, Category: General Use, Price: 63735 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Laptop Bag
Suggest a Apple laptop with 16GB RAM and 256GB SSD.,"Name: Apple ExpertBook 147, Category: General Use, Price: 110440 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Mouse Pad
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 148, Category: General Use, Price: 109563 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 149, Category: General Use, Price: 115499 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Delivery
Suggest a Apple laptop with 4GB RAM and 512GB SSD.,"Name: Apple ExpertBook 150, Category: General Use, Price: 125953 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Travel Pouch
Suggest a Acer laptop with 16GB RAM and 256GB SSD.,"Name: Acer ExpertBook 151, Category: General Use, Price: 55562 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,No discount
Suggest a LG laptop with 4GB RAM and 512GB SSD.,"Name: LG ExpertBook 152, Category: General Use, Price: 108495 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 153, Category: General Use, Price: 69169 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,0% EMI on selected cards
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 154, Category: General Use, Price: 95947 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Free Laptop Bag
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 155, Category: General Use, Price: 83046 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Backpack
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 156, Category: General Use, Price: 56738 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 16GB RAM and 256GB SSD.,"Name: MSI ExpertBook 157, Category: General Use, Price: 117385 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,Cashback ৳2000
Suggest a Lenovo laptop with 12GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 158, Category: General Use, Price: 114095 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Dell laptop with 12GB RAM and 128GB SSD.,"Name: Dell ExpertBook 159, Category: General Use, Price: 79671 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Brand New,EMI available (6 months)
Suggest a HP laptop with 16GB RAM and 512GB SSD.,"Name: HP ExpertBook 160, Category: General Use, Price: 80082 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Delivery
Suggest a HP laptop with 12GB RAM and 1TB SSD.,"Name: HP ExpertBook 161, Category: General Use, Price: 80314 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a MSI laptop with 8GB RAM and 256GB SSD.,"Name: MSI ExpertBook 162, Category: General Use, Price: 87555 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Acer laptop with 4GB RAM and 512GB SSD.,"Name: Acer ExpertBook 163, Category: General Use, Price: 149429 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Up to 5% Discount
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 164, Category: General Use, Price: 105660 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,Free Backpack
Suggest a MSI laptop with 12GB RAM and 1TB SSD.,"Name: MSI ExpertBook 165, Category: General Use, Price: 89134 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Discount ৳1500
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 166, Category: General Use, Price: 89073 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,EMI available (6 months)
Suggest a Lenovo laptop with 8GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 167, Category: General Use, Price: 84863 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Brand New,Free Laptop Bag
